 TIME                    ,±ÃÊýÁ¿                   ,±ÃÆµÂÊ                   ,ÀäÈ´ËþÊýÁ¿               ,ÀäÈ´ËþÆµÂÊ               ,
  +4.5906999999999998E+03,  +1.0000000000000000E+00,  +3.5000000000000000E+01,  +1.0000000000000000E+00,  +3.5000000000000000E+01,
  +4.5908000000000002E+03,  +1.0000000000000000E+00,  +3.8000000000000000E+01,  +1.0000000000000000E+00,  +4.1000000000000000E+01,
  +4.5908999999999996E+03,  +1.0000000000000000E+00,  +3.5000000000000000E+01,  +1.0000000000000000E+00,  +3.5000000000000000E+01,
  +4.5910000000000000E+03,  +1.0000000000000000E+00,  +3.5000000000000000E+01,  +1.0000000000000000E+00,  +4.1000000000000000E+01,
  +4.5911000000000004E+03,  +2.0000000000000000E+00,  +3.5000000000000000E+01,  +1.0000000000000000E+00,  +3.5000000000000000E+01,
  +4.5911999999999998E+03,  +1.0000000000000000E+00,  +3.5000000000000000E+01,  +1.0000000000000000E+00,  +4.1000000000000000E+01,
  +4.5913000000000002E+03,  +1.0000000000000000E+00,  +3.5000000000000000E+01,  +1.0000000000000000E+00,  +3.5000000000000000E+01,
  +4.5913999999999996E+03,  +1.0000000000000000E+00,  +3.5000000000000000E+01,  +1.0000000000000000E+00,  +4.1000000000000000E+01,
  +4.5915000000000000E+03,  +1.0000000000000000E+00,  +3.5000000000000000E+01,  +1.0000000000000000E+00,  +4.1000000000000000E+01,
  +4.5916000000000004E+03,  +1.0000000000000000E+00,  +3.5000000000000000E+01,  +1.0000000000000000E+00,  +3.5000000000000000E+01,
  +4.5916999999999998E+03,  +2.0000000000000000E+00,  +3.5000000000000000E+01,  +1.0000000000000000E+00,  +3.5000000000000000E+01,
  +4.5918000000000002E+03,  +2.0000000000000000E+00,  +3.5000000000000000E+01,  +1.0000000000000000E+00,  +3.5000000000000000E+01,
  +4.5918999999999996E+03,  +1.0000000000000000E+00,  +3.5000000000000000E+01,  +1.0000000000000000E+00,  +4.1000000000000000E+01,
  +4.5920000000000000E+03,  +1.0000000000000000E+00,  +3.5000000000000000E+01,  +1.0000000000000000E+00,  +4.1000000000000000E+01,
  +4.5921000000000004E+03,  +1.0000000000000000E+00,  +3.5000000000000000E+01,  +1.0000000000000000E+00,  +3.5000000000000000E+01,
  +4.5921999999999998E+03,  +1.0000000000000000E+00,  +3.5000000000000000E+01,  +1.0000000000000000E+00,  +3.5000000000000000E+01,
  +4.5923000000000002E+03,  +1.0000000000000000E+00,  +3.5000000000000000E+01,  +1.0000000000000000E+00,  +4.1000000000000000E+01,
  +4.5923999999999996E+03,  +1.0000000000000000E+00,  +3.5000000000000000E+01,  +1.0000000000000000E+00,  +4.1000000000000000E+01,
  +4.5925000000000000E+03,  +1.0000000000000000E+00,  +3.5000000000000000E+01,  +1.0000000000000000E+00,  +4.1000000000000000E+01,
  +4.5926000000000004E+03,  +2.0000000000000000E+00,  +3.5000000000000000E+01,  +1.0000000000000000E+00,  +3.5000000000000000E+01,
  +4.5926999999999998E+03,  +1.0000000000000000E+00,  +3.8000000000000000E+01,  +1.0000000000000000E+00,  +4.1000000000000000E+01,
  +4.5928000000000002E+03,  +1.0000000000000000E+00,  +3.5000000000000000E+01,  +1.0000000000000000E+00,  +3.5000000000000000E+01,
  +4.5928999999999996E+03,  +2.0000000000000000E+00,  +3.5000000000000000E+01,  +1.0000000000000000E+00,  +3.5000000000000000E+01,
  +4.5930000000000000E+03,  +1.0000000000000000E+00,  +3.5000000000000000E+01,  +1.0000000000000000E+00,  +3.5000000000000000E+01,
  +4.5931000000000004E+03,  +1.0000000000000000E+00,  +3.5000000000000000E+01,  +1.0000000000000000E+00,  +4.1000000000000000E+01,
  +4.5931999999999998E+03,  +2.0000000000000000E+00,  +3.5000000000000000E+01,  +1.0000000000000000E+00,  +3.5000000000000000E+01,
  +4.5933000000000002E+03,  +1.0000000000000000E+00,  +3.8000000000000000E+01,  +2.0000000000000000E+00,  +3.5000000000000000E+01,
  +4.5933999999999996E+03,  +2.0000000000000000E+00,  +3.5000000000000000E+01,  +1.0000000000000000E+00,  +3.5000000000000000E+01,
