 TIME                    ,¸ººÉ                     ,
  +4.5858000000000002E+03,  +1.1913382630000001E+03,
  +4.5858999999999996E+03,  +1.9261403710000000E+03,
  +4.5860000000000000E+03,  +1.9562023440000000E+03,
  +4.5861000000000004E+03,  +1.2987093510000000E+03,
  +4.5861999999999998E+03,  +1.0011867340000000E+03,
  +4.5863000000000002E+03,  +1.0749549549999999E+03,
  +4.5863999999999996E+03,  +1.6936145460000000E+03,
  +4.5865000000000000E+03,  +1.7848666880000001E+03,
  +4.5866000000000004E+03,  +1.2495313220000000E+03,
  +4.5866999999999998E+03,  +1.7685926800000000E+03,
  +4.5868000000000002E+03,  +1.9115976479999999E+03,
  +4.5868999999999996E+03,  +1.8788452010000001E+03,
  +4.5870000000000000E+03,  +9.1903428489999999E+02,
  +4.5871000000000004E+03,  +1.3902259059999999E+03,
  +4.5871999999999998E+03,  +1.8760308460000001E+03,
  +4.5873000000000002E+03,  +1.5544613370000000E+03,
  +4.5873999999999996E+03,  +1.8234904650000001E+03,
  +4.5875000000000000E+03,  +1.7607990390000000E+03,
  +4.5876000000000004E+03,  +1.7200159209999999E+03,
  +4.5876999999999998E+03,  +1.9246377080000000E+03,
  +4.5878000000000002E+03,  +1.7547687579999999E+03,
  +4.5878999999999996E+03,  +1.4911800080000000E+03,
  +4.5880000000000000E+03,  +1.7559330720000000E+03,
  +4.5881000000000004E+03,  +1.3272169360000000E+03,
  +4.5881999999999998E+03,  +1.9121213270000001E+03,
  +4.5883000000000002E+03,  +1.6828157819999999E+03,
  +4.5883999999999996E+03,  +1.5696791089999999E+03,
  +4.5885000000000000E+03,  +1.3455411449999999E+03,
  +4.5886000000000004E+03,  +1.9860301950000000E+03,
  +4.5886999999999998E+03,  +1.7596912649999999E+03,
  +4.5888000000000002E+03,  +1.0385807629999999E+03,
  +4.5888999999999996E+03,  +1.6740434009999999E+03,
  +4.5890000000000000E+03,  +1.5910151120000000E+03,
  +4.5891000000000004E+03,  +1.6791131100000000E+03,
  +4.5891999999999998E+03,  +1.1710769660000001E+03,
  +4.5893000000000002E+03,  +1.3855169240000000E+03,
  +4.5893999999999996E+03,  +1.1099752420000000E+03,
  +4.5895000000000000E+03,  +1.8250088140000000E+03,
  +4.5896000000000004E+03,  +1.4804361230000000E+03,
  +4.5896999999999998E+03,  +1.2196668820000000E+03,
  +4.5898000000000002E+03,  +1.8369762790000000E+03,
  +4.5898999999999996E+03,  +1.4510209769999999E+03,
  +4.5900000000000000E+03,  +1.5238341909999999E+03,
  +4.5901000000000004E+03,  +1.8871730350000000E+03,
  +4.5901999999999998E+03,  +1.2832722220000001E+03,
  +4.5903000000000002E+03,  +1.9912497539999999E+03,
