 TIME                    ,ÏµÍ³COP                  ,Time                     ,¸ººÉ                     ,
  +4.5151000000000004E+03,  +4.8201550001142293E+00,  +4.5151999999999998E+03,  +1.6399206890000000E+03,
  +4.5151999999999998E+03,  +5.0166634946321453E+00,  +4.5153000000000002E+03,  +1.6877273610000000E+03,
  +4.5153000000000002E+03,  +4.6370339303181751E+00,  +4.5153999999999996E+03,  +1.2711122190000001E+03,
  +4.5153999999999996E+03,  +4.4210120901746839E+00,  +4.5155000000000000E+03,  +1.2414843129999999E+03,
  +4.5155000000000000E+03,  +4.3820390431835943E+00,  +4.5156000000000004E+03,  +1.1480330050000000E+03,
  +4.5156000000000004E+03,  +4.7812862108895651E+00,  +4.5156999999999998E+03,  +1.5807543069999999E+03,
  +4.5156999999999998E+03,  +4.7900964705747695E+00,  +4.5158000000000002E+03,  +1.6031500850000000E+03,
  +4.5158000000000002E+03,  +4.1954236106833331E+00,  +4.5158999999999996E+03,  +9.5571329130000004E+02,
  +4.5158999999999996E+03,  +5.1071384855765372E+00,  +4.5160000000000000E+03,  +1.7495181390000000E+03,
  +4.5160000000000000E+03,  +4.3317766562122602E+00,  +4.5161000000000004E+03,  +1.0743590110000000E+03,
  +4.5161000000000004E+03,  +4.5930674150922135E+00,  +4.5161999999999998E+03,  +1.2029739640000000E+03,
  +4.5161999999999998E+03,  +4.5944383519246150E+00,  +4.5163000000000002E+03,  +1.2089313580000000E+03,
  +4.5163000000000002E+03,  +4.6841830104563105E+00,  +4.5163999999999996E+03,  +1.5516004909999999E+03,
  +4.5163999999999996E+03,  +4.9023049940183725E+00,  +4.5165000000000000E+03,  +1.4062604429999999E+03,
  +4.5165000000000000E+03,  +4.3658947068492235E+00,  +4.5166000000000004E+03,  +1.1068358570000000E+03,
  +4.5166000000000004E+03,  +4.8816673121677798E+00,  +4.5166999999999998E+03,  +1.5542023870000000E+03,
  +4.5166999999999998E+03,  +4.9543098273211399E+00,  +4.5168000000000002E+03,  +1.7837012080000000E+03,
  +4.5168000000000002E+03,  +4.6379144789864668E+00,  +4.5168999999999996E+03,  +1.3786146229999999E+03,
  +4.5168999999999996E+03,  +4.5044659812129799E+00,  +4.5170000000000000E+03,  +1.3422673649999999E+03,
  +4.5170000000000000E+03,  +4.9839875311401984E+00,  +4.5171000000000004E+03,  +1.6633868370000000E+03,
  +4.5171000000000004E+03,  +4.4389438102658358E+00,  +4.5171999999999998E+03,  +1.1755664440000000E+03,
  +4.5171999999999998E+03,  +4.6841690867550199E+00,  +4.5173000000000002E+03,  +1.4338069559999999E+03,
  +4.5173000000000002E+03,  +4.4531630074370643E+00,  +4.5173999999999996E+03,  +1.2413595270000001E+03,
  +4.5173999999999996E+03,  +5.0209859132935186E+00,  +4.5175000000000000E+03,  +1.8338131340000000E+03,
  +4.5175000000000000E+03,  +4.3809987065439877E+00,  +4.5176000000000004E+03,  +1.0321745100000001E+03,
  +4.5176000000000004E+03,  +4.4778096674443129E+00,  +4.5176999999999998E+03,  +1.1155876040000001E+03,
  +4.5176999999999998E+03,  +4.5583667606233869E+00,  +4.5178000000000002E+03,  +1.4221049020000000E+03,
  +4.5178000000000002E+03,  +4.1728922529095609E+00,  +4.5178999999999996E+03,  +1.0974219000000001E+03,
  +4.5178999999999996E+03,  +5.1042486004085887E+00,  +4.5180000000000000E+03,  +1.8010768479999999E+03,
  +4.5180000000000000E+03,  +4.1242485702804519E+00,  +4.5181000000000004E+03,  +1.0597881580000001E+03,
  +4.5181000000000004E+03,  +5.2140644182379141E+00,  +4.5181999999999998E+03,  +1.9914994650000001E+03,
  +4.5181999999999998E+03,  +4.8985218369570251E+00,  +4.5183000000000002E+03,  +1.7357637219999999E+03,
  +4.5183000000000002E+03,  +4.4061083248624149E+00,  +4.5183999999999996E+03,  +1.1585745039999999E+03,
  +4.5183999999999996E+03,  +4.3270058994804810E+00,  +4.5185000000000000E+03,  +1.1373608720000000E+03,
  +4.5185000000000000E+03,  +4.8634655959211086E+00,  +4.5186000000000004E+03,  +1.5868940560000001E+03,
  +4.5186000000000004E+03,  +4.5670999537669701E+00,  +4.5186999999999998E+03,  +1.2383578470000000E+03,
  +4.5186999999999998E+03,  +4.8204754794863680E+00,  +4.5188000000000002E+03,  +1.6953679430000000E+03,
  +4.5188000000000002E+03,  +5.0979014189156979E+00,  +4.5188999999999996E+03,  +1.9915168200000001E+03,
  +4.5188999999999996E+03,  +4.3252027566751829E+00,  +4.5190000000000000E+03,  +1.1785840300000000E+03,
  +4.5190000000000000E+03,  +4.5718070050042856E+00,  +4.5191000000000004E+03,  +1.0907833459999999E+03,
  +4.5191000000000004E+03,  +4.0528061965636155E+00,  +4.5191999999999998E+03,  +9.3322287770000003E+02,
  +4.5191999999999998E+03,  +4.6204761352033419E+00,  +4.5193000000000002E+03,  +1.4878488820000000E+03,
  +4.5193000000000002E+03,  +4.6373321001685017E+00,  +4.5193999999999996E+03,  +1.5754559280000001E+03,
  +4.5193999999999996E+03,  +4.7534724938708948E+00,  +4.5195000000000000E+03,  +1.3187875240000001E+03,
  +4.5195000000000000E+03,  +3.9897439758870830E+00,  +4.5196000000000004E+03,  +1.0058448780000000E+03,
  +4.5196000000000004E+03,  +5.1042261382144849E+00,  +4.5196999999999998E+03,  +1.8772756039999999E+03,
  +4.5196999999999998E+03,  +4.4438396586657731E+00,  +4.5198000000000002E+03,  +1.1577232950000000E+03,
  +4.5198000000000002E+03,  +4.7018130325241785E+00,  +4.5198999999999996E+03,  +1.6200397439999999E+03,
  +4.5198999999999996E+03,  +4.5811617119582371E+00,  +4.5200000000000000E+03,  +1.3126999069999999E+03,
  +4.5200000000000000E+03,  +5.4298021402918968E+00,  +4.5201000000000004E+03,  +3.5923246580000000E+03,
  +4.5201000000000004E+03,  +5.2111866729883136E+00,  +4.5201999999999998E+03,  +3.7574624779999999E+03,
